Instrument ID;Calendar ID;Segment Code;Post Trade Parameters ID;Price Tick Table ID;ISIN Code;Deletion Date;First Trading Date;Instrument Status;Clearing Type;Delete Orders at EOD;Exchange Market Size;Pre-Trade LIS Value (Currency);Minimum Order Size;Last Trading Day;Lot Size;Security Type;TIDM;Description;SEDOL;ADT (EUR);Currency;Bid Status;DOL Indicator;DOL Section Number;Expiry Source;Issuer Code;Issuer Name;Normal Market Size;Ratio;Settlement Type;Standard Market Size;Instrument Name;DOL Symbol;Unit of Quotation;Max Spread Floor;Max Spread Percentage;Country of Register;Covered Warrant Strike Price;Covered Warrant Expiry;Sector;Multicast ID;Covered Warrant Strike Currency;Covered Warrant Type;Covered Warrant Style;Reference Price;Market ID;Visibility;Mifir Identifier;Mifir Subclass;Static Reference Price Collar Percentage;Dynamic Reference Price Collar Percentage ;Liquid;ADT (Currency);ADNT;RPW Allowed;FISN;Max Order Value Lit (Currency);Max Order Value Dark (Currency);Notional Currency ;Price Notation;Denominated Par Value;Max Order Value Lit Auctions (Currency)
NBAu;PT;PT;Normal;10_80;PTNBA0AM0006;;20190708;0;1;1;;15000;;;1;EQ;;NOVABASE SGPS SA;;46841.55;EUR;;;;;;;;;;;;;;;;;;;;6;;;;2.7;XLIS;B;SHRS;;30;10;N;46841.56;21.82284;Y;NOVABASE SGPS/AC .5;20000000;200000000;;MONE;;200000000
NVGu;PT;PT;Normal;600_2000;PTPTI0AM0006;;20190708;0;1;1;;300000;;;1;EQ;;NAVIGATOR COMP;;9312596.68;EUR;;;;;;;;;;;;;;;;;;;;6;;;;2.838;XLIS;B;SHRS;;25;5;Y;9312596.68;944.7126;Y;THE NAVIG C SA/AC NPV;20000000;200000000;;MONE;;200000000
OREu;PT;PT;Normal;_10;PTORE0AM0002;;20190708;0;1;1;;15000;;;1;EQ;;SOC COMERCIAL OREY ANTUNES;;273.07;EUR;;;;;;;;;;;;;;;;;;;;6;;;;0.25;XLIS;B;SHRS;;30;10;N;273.07;.47245;Y;S C OREY ANT SA/AC 1;20000000;200000000;;MONE;;200000000
PHRu;PT;PT;Normal;80_600;PTPTC0AM0009;;20190708;0;1;1;;200000;;;1;EQ;;PHAROL SGPS SA;;1250812.9;EUR;;;;;;;;;;;;;;;;;;;;6;;;;0.14;XLIS;B;SHRS;;30;10;N;1250812.9;334.59056;Y;PHAROL SGPS/AC .03;20000000;200000000;;MONE;;200000000
RAMu;PT;PT;Normal;10_80;PTFRV0AE0004;;20190708;0;1;1;;60000;;;1;EQ;;RAMADA INVETIMENTOS INDUST;;164072.33;EUR;;;;;;;;;;;;;;;;;;;;6;;;;6.2;XLIS;B;SHRS;;30;10;N;164072.33;39.53938;Y;F RAMA INV SGPS/AC 1;20000000;200000000;;MONE;;200000000
REDu;PT;PT;Normal;_10;PTRED0AP0010;;20190708;0;1;1;;15000;;;1;EQ;;REDITUS SGPS;;601.7;EUR;;;;;;;;;;;;;;;;;;;;6;;;;0.087;XLIS;B;SHRS;;30;10;N;601.71;1.40158;Y;REDITUS SGPS/AC 5;20000000;200000000;;MONE;;200000000
RENEu;PT;PT;Normal;80_600;PTREL0AM0008;;20190708;0;1;1;;300000;;;1;EQ;;REDES ENERGETICAS NACIONAIS;;5907387.34;EUR;;;;;;;;;;;;;;;;;;;;6;;;;2.49;XLIS;B;SHRS;;25;5;Y;5907387.34;590.89371;Y;REN SGPS/AC 1;20000000;200000000;;MONE;;200000000
SCTu;PT;PT;Normal;_10;PTSCT0AP0018;;20190708;0;1;1;;15000;;;1;EQ;;TOYOTA CAETANO PORTUGAL SA;;6949.17;EUR;;;;;;;;;;;;;;;;;;;;6;;;;2.76;XLIS;B;SHRS;;30;10;N;6949.18;2.09449;Y;TOYO CAE PRT SA/AC 1;20000000;200000000;;MONE;;200000000
SEMu;PT;PT;Normal;80_600;PTSEM0AM0004;;20190708;0;1;1;;200000;;;1;EQ;;SEMAPA-SOCIEDADE DE INVESTIM;;2227489.86;EUR;;;;;;;;;;;;;;;;;;;;6;;;;11.46;XLIS;B;SHRS;;25;5;Y;2227489.86;282.97245;Y;SEMAPA SGPS/AC NPV;20000000;200000000;;MONE;;200000000
SLBENu;PT;PT;Normal;10_80;PTSLB0AM0010;;20190708;0;1;1;;15000;;;1;EQ;;SPORT LISBOA E BENFICA-FUT S;;7176.23;EUR;;;;;;;;;;;;;;;;;;;;6;;;;2.77;XLIS;B;SHRS;;30;10;N;7176.23;13.24016;Y;SLB BENFICA SAD/AC 5;20000000;200000000;;MONE;;200000000
